                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0177,                 3.2009,                 1.4053,                0.00341,                      1,                0.08124,                0.03356,                0.77036,                 3.5056,                 1.3782,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 1.0978,                 3.2814,                 1.4554,                0.00341,                      1,                0.10665,                0.04129,                0.76335,                 3.5121,                 1.3711,             6.6734e-05,             6.6734e-05,             6.6734e-05
                      3,                 1.0846,                 3.2848,                 1.4208,                 0.0035,                      1,                0.22058,                0.10512,                0.68291,                 3.4843,                 1.2691,              9.923e-05,              9.923e-05,              9.923e-05
                      4,                0.73043,                 2.9783,                 1.2129,                0.00377,                      1,                0.36775,                0.25415,                0.49744,                 3.4243,                 1.1708,             0.00012607,             0.00012607,             0.00012607
                      5,                0.68474,                 2.5917,                 1.2429,                0.00341,                      1,                0.53634,                0.34455,                0.51499,                 3.4459,                 1.1507,             0.00014724,             0.00014724,             0.00014724
                      6,                0.69295,                 2.7922,                  1.481,                0.00341,                      1,                0.50428,                0.28166,                0.71501,                 3.5025,                 1.3576,             0.00016276,             0.00016276,             0.00016276
                      7,                0.66215,                 2.5769,                 1.4174,                0.00352,                      1,                0.61173,                0.36614,                0.77391,                 3.4677,                 1.3988,             0.00017262,             0.00017262,             0.00017262
                      8,                0.58665,                  2.375,                 1.3599,                 0.0035,                      1,                0.71438,                0.43693,                0.80791,                 3.3728,                  1.367,             0.00017682,             0.00017682,             0.00017682
                      9,                0.56899,                 2.1667,                 1.3652,                0.00352,                      1,                 0.7052,                0.42578,                0.79637,                 3.3726,                 1.3094,             0.00017537,             0.00017537,             0.00017537
                     10,                0.57087,                 1.9634,                  1.337,                0.00366,                      1,                  0.666,                0.46094,                0.60248,                 3.3423,                 1.1304,             0.00016825,             0.00016825,             0.00016825
                     11,                0.57053,                 1.8016,                  1.324,                 0.0037,                      1,                0.71767,                 0.5208,                0.61335,                 3.3139,                 1.1535,             0.00015548,             0.00015548,             0.00015548
                     12,                0.53758,                 1.7042,                 1.2563,                0.00397,                      1,                0.80268,                0.56822,                0.69368,                 3.3647,                 1.2559,             0.00013704,             0.00013704,             0.00013704
                     13,                0.54464,                 1.6944,                 1.2612,                0.00396,                      1,                0.79319,                0.59021,                  0.655,                 3.3815,                  1.239,             0.00011295,             0.00011295,             0.00011295
                     14,                0.53059,                 1.7086,                 1.2656,                0.00396,                      1,                0.84235,                0.64046,                  0.571,                 3.3564,                 1.1816,             8.3196e-05,             8.3196e-05,             8.3196e-05
                     15,                0.52627,                  1.577,                 1.2167,                0.00407,                      1,                 0.8474,                0.64342,                0.61013,                 3.3246,                 1.1977,             4.7786e-05,             4.7786e-05,             4.7786e-05
