                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52837,                 2.2208,                 1.0626,                0.54545,                0.35641,                0.51646,                0.33981,                0.60484,                 2.8636,                  1.181,             0.00046551,             0.00046551,             0.00046551
                      2,                0.44936,                 1.4124,                 1.0102,                0.68359,                0.65969,                 0.6339,                 0.3951,                0.94587,                 2.7302,                  1.447,             0.00093998,             0.00093998,             0.00093998
                      3,                0.49143,                 1.2375,                  1.035,                0.50115,                0.64145,                0.63963,                0.44625,                0.79688,                 2.5937,                 1.5031,              0.0014126,              0.0014126,              0.0014126
                      4,                0.48996,                 1.1044,                  1.026,                0.88181,                0.67192,                0.83825,                0.64626,                0.95076,                 2.0373,                 1.8743,              0.0014205,              0.0014205,              0.0014205
                      5,                0.49931,                 1.0128,                  1.041,                0.81118,                0.78256,                0.88159,                0.73172,                 0.5772,                 1.0036,                 1.1476,              0.0014205,              0.0014205,              0.0014205
                      6,                0.45921,                0.90621,                 1.0111,                0.91491,                0.92107,                0.93168,                0.70832,                0.68101,                 1.0921,                 1.1591,              0.0014177,              0.0014177,              0.0014177
                      7,                0.48393,                0.89765,                 1.0361,                0.93871,                0.62499,                0.83109,                0.59269,                0.81906,                 1.4588,                 1.4304,              0.0014149,              0.0014149,              0.0014149
                      8,                0.43045,                0.83489,                0.99102,                0.81949,                0.75949,                0.87386,                0.74216,                0.56344,                 1.1529,                 1.1445,               0.001412,               0.001412,               0.001412
                      9,                0.41481,                0.79167,                0.99245,                0.52656,                0.57722,                0.60223,                0.47901,                0.91731,                 2.1791,                 1.5073,              0.0014092,              0.0014092,              0.0014092
                     10,                0.40638,                0.71154,                0.98291,                0.70588,                0.85158,                0.77571,                0.57924,                0.85497,                 1.4045,                  1.503,              0.0014064,              0.0014064,              0.0014064
                     11,                0.40237,                0.67579,                0.98992,                  0.712,                0.69763,                0.79953,                0.61996,                0.66599,                 1.4714,                 1.1259,              0.0014035,              0.0014035,              0.0014035
                     12,                 0.3826,                0.65744,                0.95933,                 0.6768,                0.58649,                0.71618,                0.52925,                0.85817,                 2.0272,                  1.573,              0.0014007,              0.0014007,              0.0014007
