                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0177,                 3.2009,                 1.4053,                0.00341,                      1,                0.08124,                0.03356,                0.77036,                 3.5056,                 1.3782,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 1.0978,                 3.2814,                 1.4554,                0.00341,                      1,                0.10665,                0.04129,                0.76335,                 3.5121,                 1.3711,             6.6734e-05,             6.6734e-05,             6.6734e-05
                      3,                 1.0846,                 3.2848,                 1.4208,                 0.0035,                      1,                0.21276,                0.10072,                0.68325,                 3.4847,                 1.2696,              9.923e-05,              9.923e-05,              9.923e-05
                      4,                0.73106,                 2.9784,                 1.2143,                0.00382,                      1,                0.38686,                0.25382,                0.49533,                 3.4264,                 1.1593,             0.00012607,             0.00012607,             0.00012607
                      5,                0.67565,                 2.5982,                 1.2358,                0.00349,                      1,                0.50572,                0.31271,                0.53816,                 3.4344,                 1.1644,             0.00014724,             0.00014724,             0.00014724
                      6,                0.69135,                 2.7865,                 1.4695,                0.00336,                      1,                0.46194,                0.24051,                0.74754,                 3.5554,                 1.4917,             0.00016276,             0.00016276,             0.00016276
                      7,                0.63935,                  2.577,                 1.4277,                0.00338,                      1,                 0.4576,                0.25195,                0.98852,                  3.517,                 1.7286,             0.00017262,             0.00017262,             0.00017262
                      8,                0.57761,                 2.3297,                 1.3401,                0.00345,                      1,                0.56389,                0.28661,                0.94844,                 3.4675,                 1.6255,             0.00017682,             0.00017682,             0.00017682
                      9,                0.57102,                 2.1488,                 1.3813,                 0.0036,                      1,                0.55305,                0.25798,                0.91466,                 3.4144,                 1.5265,             0.00017537,             0.00017537,             0.00017537
                     10,                 0.5803,                 1.9302,                 1.3502,                0.00385,                      1,                0.55542,                0.32571,                 0.8541,                 3.3392,                 1.4585,             0.00016825,             0.00016825,             0.00016825
                     11,                0.54996,                 1.8393,                 1.2911,                0.00387,                      1,                 0.5687,                0.34989,                0.75592,                 3.3429,                 1.3329,             0.00015548,             0.00015548,             0.00015548
                     12,                0.53703,                 1.6963,                 1.2518,                0.00392,                      1,                0.66203,                0.46009,                0.65354,                 3.3696,                 1.2209,             0.00013704,             0.00013704,             0.00013704
                     13,                0.53519,                 1.6853,                  1.262,                  0.004,                      1,                0.72953,                0.50885,                0.62021,                 3.3635,                 1.1804,             0.00011295,             0.00011295,             0.00011295
                     14,                0.52808,                 1.6387,                  1.274,                0.00407,                      1,                0.78429,                0.53342,                0.61155,                 3.3244,                 1.1771,             8.3196e-05,             8.3196e-05,             8.3196e-05
                     15,                0.53677,                 1.5928,                 1.2034,                0.00411,                      1,                 0.7804,                 0.5592,                0.61358,                 3.2701,                 1.1707,             4.7786e-05,             4.7786e-05,             4.7786e-05
