                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95623,                 3.0551,                 1.3711,                0.00348,                      1,                0.48169,                0.32315,                 0.5374,                 3.4744,                 1.2507,             0.00017148,             0.00017148,             0.00017148
                      2,                0.71047,                 2.1705,                 1.2298,                0.00289,                0.83333,                0.09887,                0.02804,                 2.1192,                 4.3057,                 2.8103,             0.00035607,             0.00035607,             0.00035607
                      3,                0.68038,                 1.8032,                 1.2032,                0.01617,                      1,                0.39922,                0.15682,                 1.5889,                   3.56,                 2.4625,             0.00053944,             0.00053944,             0.00053944
                      4,                0.72751,                 1.6353,                 1.2336,                0.79258,                0.16667,                0.25168,                 0.0574,                 2.3146,                 4.0415,                 3.3093,             0.00072157,             0.00072157,             0.00072157
                      5,                0.74693,                 1.5232,                 1.2384,                0.67365,                0.56667,                0.84074,                0.48275,                 1.0669,                 2.8407,                 1.9334,             0.00090249,             0.00090249,             0.00090249
                      6,                0.77343,                 1.5114,                 1.2623,                0.91511,                    0.2,                0.30956,                0.11134,                 1.8821,                 3.6789,                 3.1067,              0.0010822,              0.0010822,              0.0010822
                      7,                0.83356,                 1.4838,                 1.2916,                0.69418,                    0.6,                0.68465,                0.37618,                 1.2784,                 3.5192,                  2.168,              0.0012606,              0.0012606,              0.0012606
                      8,                0.84567,                 1.4919,                 1.3224,                0.97793,                0.26667,                0.64452,                0.38366,                 1.4996,                 3.2247,                 2.3313,               0.001396,               0.001396,               0.001396
                      9,                0.79095,                 1.3814,                 1.2649,                0.76158,                0.26667,                0.22664,                0.11666,                 1.5262,                  5.448,                 2.4233,               0.001396,               0.001396,               0.001396
                     10,                0.85212,                 1.4315,                 1.2934,                0.77573,                0.33333,                0.15777,                0.12204,                 1.0272,                  7.824,                 1.6987,              0.0013913,              0.0013913,              0.0013913
                     11,                0.82133,                 1.2984,                 1.2411,                0.70349,                0.46667,                0.40021,                0.27706,                 1.1303,                 6.6999,                 1.7232,              0.0013866,              0.0013866,              0.0013866
                     12,                0.86355,                 1.3491,                 1.3286,                0.78158,                0.53536,                0.55442,                0.38138,                0.96565,                 4.3206,                 1.9903,              0.0013818,              0.0013818,              0.0013818
                     13,                0.76416,                 1.2214,                 1.2289,                0.83218,                    0.6,                0.65405,                0.45987,                0.97591,                 2.6157,                 1.5455,              0.0013771,              0.0013771,              0.0013771
                     14,                0.73487,                 1.1461,                 1.2118,                 0.6748,                0.96667,                0.85176,                0.59558,                  1.005,                 1.5106,                 1.6135,              0.0013724,              0.0013724,              0.0013724
                     15,                0.78964,                 1.2228,                 1.2542,                0.68764,                0.53333,                0.56828,                0.28705,                 1.7808,                 3.3555,                 2.6984,              0.0013677,              0.0013677,              0.0013677
                     16,                0.81909,                 1.2615,                 1.2623,                0.22756,                0.53333,                0.23245,                0.11905,                 1.7911,                 3.6576,                 2.7483,               0.001363,               0.001363,               0.001363
                     17,                0.75394,                  1.099,                 1.2234,                0.55588,                    0.4,                0.19425,                0.09539,                 1.8675,                 3.5117,                 2.8387,              0.0013583,              0.0013583,              0.0013583
