                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95631,                 3.0541,                 1.3721,                0.00351,                      1,                0.48415,                0.33909,                0.52065,                 3.4606,                 1.2057,             0.00017148,             0.00017148,             0.00017148
                      2,                0.70638,                 2.1523,                 1.2193,                0.00336,                      1,                0.09849,                0.04058,                 1.1825,                 3.7082,                 1.7675,             0.00035371,             0.00035371,             0.00035371
                      3,                0.69497,                 1.7964,                 1.2063,                0.85195,                0.33333,                0.67589,                 0.3513,                0.89072,                  2.989,                 1.4933,             0.00053227,             0.00053227,             0.00053227
                      4,                0.73301,                 1.6101,                 1.2331,                0.72588,                0.49907,                0.55391,                0.22613,                 1.4337,                 3.3599,                 1.9766,             0.00070714,             0.00070714,             0.00070714
                      5,                 0.7405,                 1.5163,                 1.2386,                 0.6945,                0.66667,                0.85213,                0.59814,                0.84636,                 3.0873,                 1.6261,             0.00087834,             0.00087834,             0.00087834
                      6,                0.78241,                 1.4436,                 1.2747,                0.67458,                0.53333,                0.56588,                0.40822,                0.92652,                 2.9402,                 1.6993,              0.0010459,              0.0010459,              0.0010459
                      7,                0.82955,                 1.5107,                 1.2873,                0.35621,                0.53333,                0.47891,                0.35035,                 1.0368,                 3.4332,                 1.7476,              0.0012097,              0.0012097,              0.0012097
                      8,                0.86066,                 1.4646,                 1.3266,                0.87128,                    0.2,                0.37424,                0.23748,                0.91168,                 4.5591,                 1.6861,                0.00133,                0.00133,                0.00133
                      9,                0.81869,                 1.5026,                 1.2712,                 0.4479,                    0.5,                0.52902,                0.32279,                  1.129,                 3.0718,                 2.1658,                0.00133,                0.00133,                0.00133
                     10,                0.85735,                 1.4509,                 1.3071,                0.76333,                0.33333,                0.11323,                0.04921,                 1.8625,                 6.7899,                 2.5829,              0.0013158,              0.0013158,              0.0013158
                     11,                0.80103,                 1.2482,                 1.2406,                0.81813,                0.16667,                0.22397,                0.11777,                   1.63,                 4.2152,                 2.0825,              0.0013017,              0.0013017,              0.0013017
                     12,                 0.8533,                 1.3223,                 1.3198,                0.09825,                    0.2,                0.04965,                0.01493,                 2.5033,                 7.6859,                 4.3037,              0.0012875,              0.0012875,              0.0012875
                     13,                0.77307,                 1.2258,                 1.2501,                0.71162,                0.06667,                0.02897,                0.00941,                 3.2663,                 5.5938,                 5.1307,              0.0012734,              0.0012734,              0.0012734
                     14,                0.72567,                 1.1998,                 1.2205,                0.23598,                    0.2,                0.13486,                0.03378,                 3.5405,                 7.3135,                 6.4588,              0.0012592,              0.0012592,              0.0012592
                     15,                0.76038,                  1.279,                 1.2482,                0.08111,                    0.2,                 0.0885,                0.02181,                 2.5916,                 6.1376,                 3.8985,              0.0012451,              0.0012451,              0.0012451
                     16,                0.79398,                 1.2453,                 1.2598,                0.72917,                    0.6,                0.45186,                0.31272,                0.95592,                 2.7065,                 1.6625,              0.0012309,              0.0012309,              0.0012309
                     17,                0.73746,                 1.1482,                 1.2076,                0.78457,                0.66667,                0.64615,                0.40206,                 1.0049,                 2.3049,                 1.8506,              0.0012168,              0.0012168,              0.0012168
                     18,                0.74698,                 1.1084,                 1.2292,                0.75913,                0.66667,                0.59168,                0.43551,                 1.0052,                 2.5518,                 1.7641,              0.0012026,              0.0012026,              0.0012026
                     19,                0.72853,                 1.0346,                 1.2169,                0.80739,                0.26667,                0.37191,                0.18198,                 2.1209,                  3.491,                 2.6263,              0.0011885,              0.0011885,              0.0011885
                     20,                0.73886,                 1.0462,                 1.2042,                0.75165,                    0.6,                 0.5414,                0.38965,                 1.2413,                 2.4527,                 2.0759,              0.0011744,              0.0011744,              0.0011744
                     21,                0.71292,                 1.0102,                 1.2181,                0.26331,                0.36667,                0.26557,                0.11362,                 2.7582,                  3.646,                 3.7238,              0.0011602,              0.0011602,              0.0011602
                     22,                0.71258,                0.96348,                 1.2004,                0.65039,                0.46667,                0.31194,                0.14518,                 2.6768,                 3.5114,                  3.466,              0.0011461,              0.0011461,              0.0011461
                     23,                0.68064,                0.96289,                 1.2036,                0.33162,                0.46667,                0.37455,                0.07035,                 2.9514,                 2.8193,                 4.0106,              0.0011319,              0.0011319,              0.0011319
                     24,                0.74558,                 1.0004,                 1.2515,                0.73311,                    0.4,                0.26361,                0.20184,                 1.0794,                 3.3084,                 1.8012,              0.0011178,              0.0011178,              0.0011178
                     25,                0.70989,                 0.9681,                 1.2002,                0.76309,                0.48182,                0.52097,                0.34422,                 1.0341,                 3.0321,                 1.7086,              0.0011036,              0.0011036,              0.0011036
