                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59581,                 2.2601,                 1.1277,                0.00333,                      1,                0.26542,                0.17434,                0.88986,                 3.1378,                 1.4823,              0.0004631,              0.0004631,              0.0004631
                      2,                0.45351,                 1.3994,                  1.033,                0.91429,                0.86541,                0.91407,                0.57342,                 1.3024,                 2.2975,                 1.7951,             0.00093634,             0.00093634,             0.00093634
                      3,                0.47874,                  1.277,                 1.0383,                0.59273,                0.39016,                0.31702,                0.19234,                 1.2568,                 2.6184,                 2.3452,              0.0014064,              0.0014064,              0.0014064
                      4,                0.51867,                 1.1296,                  1.064,                0.74761,                0.72468,                0.64394,                0.46083,                0.53603,                 3.2157,                0.98545,              0.0014149,              0.0014149,              0.0014149
                      5,                0.47045,                 1.0454,                 1.0271,                0.67771,                0.68896,                0.74922,                0.40911,                 1.3531,                 1.7325,                 1.8167,              0.0014149,              0.0014149,              0.0014149
                      6,                0.48601,                0.99176,                 1.0517,                 0.5388,                0.78632,                0.66443,                0.50016,                0.95013,                 1.7184,                 1.4953,              0.0014101,              0.0014101,              0.0014101
                      7,                0.43995,                0.90946,                 1.0179,                0.86732,                0.81813,                0.80371,                0.63214,                0.89545,                 1.7065,                 1.4185,              0.0014054,              0.0014054,              0.0014054
                      8,                0.43143,                0.88696,                   1.01,                0.87174,                0.72857,                0.81692,                0.64094,                0.89788,                 1.2072,                 1.8271,              0.0014007,              0.0014007,              0.0014007
                      9,                 0.4491,                0.84431,                 1.0277,                0.80276,                0.56457,                0.76398,                0.57019,                0.69766,                 1.8641,                 1.1746,               0.001396,               0.001396,               0.001396
                     10,                0.43001,                0.76391,                  1.008,                 0.9111,                0.94908,                0.96732,                0.77477,                0.56139,                0.68849,                 1.0678,              0.0013913,              0.0013913,              0.0013913
                     11,                0.39498,                0.71646,                0.99771,                0.91055,                0.85406,                 0.9791,                0.85215,                0.48928,                0.61439,                 1.0433,              0.0013866,              0.0013866,              0.0013866
                     12,                0.39674,                0.66745,                0.99283,                0.90267,                0.89893,                0.98857,                0.85374,                0.41682,                0.57916,                0.90688,              0.0013818,              0.0013818,              0.0013818
                     13,                0.37731,                0.63328,                0.98456,                 0.9298,                0.82123,                0.91343,                0.79099,                0.51799,                 0.6856,                0.93192,              0.0013771,              0.0013771,              0.0013771
                     14,                0.39157,                0.64111,                0.99317,                0.85942,                0.36972,                0.50741,                 0.3671,                 1.5493,                  2.342,                 1.8434,              0.0013724,              0.0013724,              0.0013724
                     15,                0.39326,                 0.6338,                0.99657,                0.73768,                0.92502,                0.97318,                0.86352,                0.52703,                0.61666,                 1.0631,              0.0013677,              0.0013677,              0.0013677
