                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95541,                  3.053,                 1.3712,                0.00343,                      1,                0.50572,                0.34273,                0.46646,                 3.4527,                 1.1719,             0.00017148,             0.00017148,             0.00017148
                      2,                0.71472,                 2.1391,                 1.2282,                0.00253,                0.73333,                   0.04,                0.01096,                 2.2761,                 4.2587,                  2.872,             0.00035018,             0.00035018,             0.00035018
                      3,                0.69612,                 1.8191,                 1.2193,                0.00334,                      1,                0.53204,                0.29602,                 1.1192,                  3.134,                 1.8056,             0.00052152,             0.00052152,             0.00052152
                      4,                0.75401,                  1.646,                 1.2539,                0.48992,                    0.5,                0.39528,                0.15393,                 1.5813,                 3.6341,                 2.6796,              0.0006855,              0.0006855,              0.0006855
                      5,                0.70162,                 1.5048,                 1.2051,                0.44388,                0.49231,                0.80274,                0.52284,                0.91344,                 2.5899,                 1.6153,             0.00084213,             0.00084213,             0.00084213
                      6,                0.74598,                  1.422,                 1.2363,                0.80239,                0.59019,                0.61343,                0.27311,                 1.2783,                 3.2823,                 2.1604,              0.0009914,              0.0009914,              0.0009914
                      7,                0.80229,                 1.4489,                 1.2622,                0.62986,                    0.6,                0.52951,                 0.2637,                0.97787,                 3.5337,                 1.6853,              0.0011333,              0.0011333,              0.0011333
                      8,                0.84682,                 1.4332,                 1.3135,                0.74869,                0.06667,                0.02756,                0.00724,                 4.0376,                 6.3776,                 7.6904,              0.0012309,              0.0012309,              0.0012309
                      9,                0.77848,                 1.3878,                 1.2285,                0.74809,                0.06667,                 0.0426,                0.01803,                 3.5666,                 7.4227,                 5.9971,              0.0012309,              0.0012309,              0.0012309
                     10,                0.84008,                 1.3885,                  1.295,                 0.8806,                0.13333,                0.13301,                0.01546,                 3.9701,                 6.2111,                 6.8029,              0.0012026,              0.0012026,              0.0012026
                     11,                0.79764,                 1.2299,                 1.2418,                 0.4221,                    0.3,                0.09491,                0.02284,                  2.802,                 5.2438,                 4.1789,              0.0011744,              0.0011744,              0.0011744
                     12,                0.82979,                 1.2595,                 1.3072,                0.55315,                0.26667,                 0.0984,                 0.0295,                 2.6457,                 5.5907,                 3.6672,              0.0011461,              0.0011461,              0.0011461
                     13,                0.72102,                 1.1345,                 1.2129,                0.71288,                0.83333,                0.67818,                0.39178,                 1.3017,                 2.2534,                 1.8746,              0.0011178,              0.0011178,              0.0011178
                     14,                0.71765,                 1.2227,                 1.2089,                0.62918,                0.59927,                0.53878,                0.29996,                  1.361,                 2.4388,                 1.9795,              0.0010895,              0.0010895,              0.0010895
                     15,                0.77036,                 1.2078,                 1.2475,                0.84231,                0.73333,                0.72448,                0.44778,                 1.0691,                 2.1041,                 1.7282,              0.0010612,              0.0010612,              0.0010612
                     16,                0.77775,                 1.2022,                   1.23,                0.80044,                    0.6,                0.59404,                 0.4135,                 1.1092,                 2.5273,                 1.9094,              0.0010329,              0.0010329,              0.0010329
                     17,                0.72288,                 1.0746,                 1.2065,                0.81059,                0.61931,                0.58012,                0.41282,                 1.1368,                 1.9722,                 1.8452,              0.0010046,              0.0010046,              0.0010046
                     18,                0.72725,                 1.1026,                 1.2031,                0.81003,                0.65516,                0.77171,                0.54287,                0.89174,                 2.0612,                 1.5604,             0.00097629,             0.00097629,             0.00097629
                     19,                0.70135,                0.98081,                 1.2068,                0.80833,                    0.6,                0.73233,                0.51287,                 1.0832,                 2.1917,                 2.0319,               0.000948,               0.000948,               0.000948
                     20,                0.68669,                0.94365,                 1.1671,                 0.8296,                0.60599,                0.74878,                0.47446,                 1.1666,                 1.8698,                 2.0641,              0.0009197,              0.0009197,              0.0009197
                     21,                0.67587,                0.94884,                 1.2092,                0.81271,                0.61461,                 0.6914,                0.48939,                 1.1366,                 1.8513,                   1.83,             0.00089141,             0.00089141,             0.00089141
                     22,                0.70638,                0.90183,                 1.1981,                0.50883,                0.53333,                0.67112,                0.30195,                 1.8081,                  1.927,                 2.2817,             0.00086312,             0.00086312,             0.00086312
                     23,                 0.6449,                0.93242,                 1.1744,                0.49333,                    0.5,                0.47554,                0.12193,                 2.5784,                 2.1471,                 2.9728,             0.00083482,             0.00083482,             0.00083482
                     24,                 0.6955,                0.94348,                 1.2038,                0.46524,                    0.6,                0.56861,                0.16887,                 2.1863,                 2.3583,                 2.4838,             0.00080653,             0.00080653,             0.00080653
                     25,                 0.6686,                 0.9088,                 1.1669,                0.09298,                0.23333,                0.07766,                0.01932,                 3.3626,                  2.908,                 4.2884,             0.00077823,             0.00077823,             0.00077823
                     26,                0.70015,                0.90172,                 1.1859,                0.05926,                    0.2,                0.05074,                0.01127,                 3.4608,                 3.0654,                 4.4503,             0.00074994,             0.00074994,             0.00074994
                     27,                0.68391,                0.86126,                 1.1683,                0.85589,                0.53333,                0.64586,                0.36754,                 1.2696,                 2.0849,                 1.9144,             0.00072164,             0.00072164,             0.00072164
                     28,                0.62788,                0.83168,                 1.1311,                0.73703,                    0.8,                0.75537,                0.43753,                 1.0423,                 1.8235,                 1.8003,             0.00069335,             0.00069335,             0.00069335
                     29,                0.65299,                0.78507,                 1.1612,                0.84767,                    0.8,                0.82198,                0.50149,                 1.2448,                 1.3249,                 1.9698,             0.00066506,             0.00066506,             0.00066506
                     30,                0.63055,                0.80254,                 1.1343,                0.86449,                0.86667,                0.86469,                0.50007,                 1.2842,                 1.2203,                 1.8906,             0.00063676,             0.00063676,             0.00063676
                     31,                 0.6507,                0.85508,                 1.1886,                0.45699,                    0.8,                0.63005,                0.30196,                 1.5799,                 1.5853,                 2.1284,             0.00060847,             0.00060847,             0.00060847
                     32,                0.66503,                0.84127,                 1.1654,                0.77539,                0.75601,                0.73904,                0.44907,                 1.0404,                 1.6088,                 1.6323,             0.00058017,             0.00058017,             0.00058017
                     33,                0.65275,                0.82363,                 1.1551,                0.85188,                0.86066,                0.81543,                0.49702,                 1.0759,                 1.2891,                 1.6176,             0.00055188,             0.00055188,             0.00055188
                     34,                0.63624,                0.78994,                 1.1548,                0.86821,                 0.8011,                0.84841,                0.50672,                 1.1141,                 1.3007,                 1.6387,             0.00052359,             0.00052359,             0.00052359
                     35,                0.59889,                0.71197,                 1.1165,                 0.8647,                0.81177,                0.83558,                0.49057,                 1.1777,                 1.1649,                  1.662,             0.00049529,             0.00049529,             0.00049529
                     36,                0.59648,                0.70007,                  1.111,                0.77534,                0.86667,                0.84556,                0.52799,                 1.0971,                 1.2235,                 1.5536,               0.000467,               0.000467,               0.000467
                     37,                0.63821,                0.76633,                 1.1575,                0.71092,                0.75995,                0.81143,                0.47034,                 1.1166,                 1.6399,                 1.6487,              0.0004387,              0.0004387,              0.0004387
                     38,                0.59176,                 0.7429,                 1.1225,                0.82641,                0.66667,                0.74357,                0.43492,                0.95741,                 1.8017,                 1.5184,             0.00041041,             0.00041041,             0.00041041
                     39,                0.60315,                 0.7329,                 1.1327,                0.83293,                0.66667,                0.82581,                0.55083,                0.90571,                 1.6796,                 1.4445,             0.00038211,             0.00038211,             0.00038211
                     40,                0.55881,                0.67454,                 1.1243,                0.90582,                    0.6,                0.86596,                0.54564,                0.95862,                 1.6413,                 1.5163,             0.00035382,             0.00035382,             0.00035382
                     41,                0.51616,                0.75809,                 1.1968,                0.78791,                0.66667,                0.77608,                0.45667,                 1.1817,                  2.021,                 1.7823,             0.00032553,             0.00032553,             0.00032553
                     42,                0.50169,                 0.7475,                 1.2122,                 0.7905,                0.66667,                0.84356,                0.50716,                 1.0354,                 1.9519,                 1.6452,             0.00029723,             0.00029723,             0.00029723
                     43,                0.47955,                0.65033,                 1.2071,                0.69025,                0.72069,                0.88675,                0.54137,                  1.021,                 1.7285,                 1.6723,             0.00026894,             0.00026894,             0.00026894
                     44,                0.49097,                0.67249,                 1.2189,                0.52536,                0.73709,                0.74187,                 0.3495,                 1.5068,                 2.1292,                 2.0685,             0.00024064,             0.00024064,             0.00024064
                     45,                0.47864,                0.65784,                  1.193,                0.70242,                0.76346,                0.92761,                0.53756,                 1.2743,                 1.6217,                 1.7962,             0.00021235,             0.00021235,             0.00021235
                     46,                0.47876,                0.62673,                 1.1806,                0.67745,                0.79161,                0.94854,                0.59783,                 1.0322,                  1.407,                 1.5892,             0.00018406,             0.00018406,             0.00018406
                     47,                0.43428,                0.58728,                 1.1426,                0.67077,                0.79441,                0.93585,                 0.5988,                 1.0609,                 1.3261,                 1.6328,             0.00015576,             0.00015576,             0.00015576
                     48,                0.44795,                0.60009,                 1.1527,                0.67049,                 0.7883,                0.92569,                0.58107,                 1.0463,                 1.3386,                 1.6171,             0.00012747,             0.00012747,             0.00012747
                     49,                0.41743,                0.56286,                 1.1083,                0.67152,                 0.7749,                0.91438,                0.57215,                 1.0205,                 1.3615,                 1.5747,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.43703,                0.54827,                 1.1351,                0.68695,                0.77231,                0.93501,                0.59772,                 1.0096,                 1.4053,                 1.5854,             7.0878e-05,             7.0878e-05,             7.0878e-05
