                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0177,                 3.2009,                 1.4053,                0.00341,                      1,                0.08124,                0.03356,                0.77036,                 3.5056,                 1.3782,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 1.0978,                 3.2814,                 1.4554,                0.00341,                      1,                0.10665,                0.04129,                0.76335,                 3.5121,                 1.3711,             6.6734e-05,             6.6734e-05,             6.6734e-05
                      3,                 1.0083,                 3.2344,                 1.3797,                0.00351,                      1,                0.25472,                0.14258,                0.62384,                 3.4788,                 1.2393,              9.923e-05,              9.923e-05,              9.923e-05
                      4,                0.72137,                 2.9064,                 1.2091,                0.00352,                      1,                0.43417,                0.25992,                0.45586,                 3.4251,                 1.1073,             0.00012607,             0.00012607,             0.00012607
                      5,                0.66946,                 2.5273,                 1.2546,                0.00335,                      1,                0.50791,                0.30375,                0.53741,                 3.3758,                 1.1131,             0.00014724,             0.00014724,             0.00014724
                      6,                0.68167,                 2.7001,                 1.4818,                0.00335,                      1,                 0.5336,                0.30129,                 0.8861,                 3.4279,                 1.4153,             0.00016276,             0.00016276,             0.00016276
                      7,                0.62978,                 2.4954,                 1.3864,                0.00338,                      1,                 0.5275,                0.30197,                0.80183,                 3.3961,                 1.3066,             0.00017262,             0.00017262,             0.00017262
                      8,                0.56886,                 2.2614,                 1.3081,                0.00337,                      1,                 0.6924,                0.40446,                0.62277,                 3.3651,                 1.1901,             0.00017682,             0.00017682,             0.00017682
                      9,                0.53354,                   2.06,                 1.3206,                0.00338,                      1,                0.65458,                0.33861,                0.82672,                 3.4584,                 1.3774,             0.00017537,             0.00017537,             0.00017537
                     10,                0.59679,                 1.8763,                 1.3588,                 0.0035,                      1,                 0.6063,                 0.3233,                0.85751,                 3.4805,                 1.3769,             0.00016825,             0.00016825,             0.00016825
                     11,                0.56318,                 1.7479,                 1.3029,                0.00338,                      1,                0.65202,                0.48165,                0.72891,                 3.3398,                 1.2336,             0.00015548,             0.00015548,             0.00015548
                     12,                0.55362,                 1.6799,                 1.2698,                 0.0034,                      1,                0.69412,                0.51276,                0.68178,                  3.318,                 1.2033,             0.00013704,             0.00013704,             0.00013704
                     13,                0.54795,                 1.6401,                 1.2591,                0.00343,                      1,                0.69639,                0.51722,                0.67216,                 3.3091,                 1.2049,             0.00011295,             0.00011295,             0.00011295
                     14,                0.56942,                 1.6436,                 1.2986,                0.00344,                      1,                0.71803,                 0.5503,                0.66162,                 3.2953,                 1.2061,             8.3196e-05,             8.3196e-05,             8.3196e-05
                     15,                0.54775,                 1.5603,                 1.2145,                0.19057,                      1,                0.71644,                0.55839,                0.63229,                 3.2707,                  1.183,             4.7786e-05,             4.7786e-05,             4.7786e-05
