                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9583,                 3.0525,                 1.3716,                0.00344,                      1,                0.54022,                0.32348,                0.51436,                 3.4726,                 1.2332,             0.00017148,             0.00017148,             0.00017148
                      2,                0.71298,                 2.1338,                 1.2371,                0.00294,                0.86667,                0.11716,                0.03226,                 2.2182,                 4.1242,                 2.9592,             0.00035607,             0.00035607,             0.00035607
                      3,                0.70931,                 1.8464,                 1.2185,                0.00334,                      1,                0.37285,                0.20324,                 1.3291,                 3.3802,                 2.1522,             0.00053944,             0.00053944,             0.00053944
                      4,                0.71849,                 1.6436,                 1.2263,                0.84576,                0.24956,                0.59121,                0.36981,                 1.0959,                 3.0403,                 1.9473,             0.00072157,             0.00072157,             0.00072157
                      5,                0.74172,                 1.5283,                  1.245,                0.59164,                0.56425,                0.59366,                0.32908,                 1.2983,                 2.9329,                 2.0147,             0.00090249,             0.00090249,             0.00090249
                      6,                0.79086,                 1.5105,                  1.253,                 0.3033,                    0.5,                0.36432,                0.12897,                 1.8077,                 3.5232,                 2.9915,              0.0010822,              0.0010822,              0.0010822
                      7,                 0.8301,                 1.4824,                  1.291,                 0.1974,                0.46667,                0.34304,                 0.0909,                 2.4036,                 3.7125,                 3.7546,              0.0012606,              0.0012606,              0.0012606
                      8,                0.87476,                 1.4675,                 1.3544,                0.70439,                    0.5,                0.40154,                0.27018,                 1.0252,                 6.8391,                 1.6997,               0.001396,               0.001396,               0.001396
                      9,                0.81286,                 1.4683,                 1.2706,                0.74202,                    0.5,                0.47386,                0.19892,                 1.4779,                 4.6044,                 2.2622,               0.001396,               0.001396,               0.001396
                     10,                0.84394,                  1.456,                 1.2956,                0.19247,                 0.6128,                0.28577,                0.13054,                 2.0512,                 5.6704,                 3.2903,              0.0013913,              0.0013913,              0.0013913
                     11,                0.82844,                 1.3153,                 1.2458,                0.67292,                0.36667,                0.31915,                0.14445,                 1.5317,                 5.3161,                 2.3288,              0.0013866,              0.0013866,              0.0013866
                     12,                0.87932,                 1.3682,                 1.3452,                0.66788,                0.52165,                0.31028,                0.15282,                 1.2544,                 4.3324,                 2.1188,              0.0013818,              0.0013818,              0.0013818
                     13,                0.76773,                  1.194,                 1.2453,                 0.7863,                0.53333,                0.55135,                0.32183,                 1.1659,                 2.5517,                 2.0169,              0.0013771,              0.0013771,              0.0013771
