                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0177,                 3.2009,                 1.4053,                0.00341,                      1,                0.08124,                0.03356,                0.77036,                 3.5056,                 1.3782,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 1.0978,                 3.2814,                 1.4554,                0.00341,                      1,                0.10665,                0.04129,                0.76335,                 3.5121,                 1.3711,             6.7913e-05,             6.7913e-05,             6.7913e-05
                      3,                 1.0846,                 3.2848,                 1.4208,                0.00351,                      1,                0.22082,                 0.1057,                 0.6805,                 3.4817,                 1.2647,               0.000103,               0.000103,               0.000103
                      4,                0.72258,                   2.97,                 1.2066,                0.00374,                      1,                0.44232,                0.25851,                0.48453,                 3.4227,                 1.1308,             0.00013385,             0.00013385,             0.00013385
                      5,                0.66535,                 2.5804,                 1.2264,                0.00337,                      1,                0.49753,                0.33314,                 0.5337,                  3.399,                 1.1273,             0.00016045,             0.00016045,             0.00016045
                      6,                0.62711,                  2.238,                   1.21,                0.00336,                      1,                0.51654,                0.29854,                0.68086,                 3.4214,                 1.2761,              0.0001828,              0.0001828,              0.0001828
                      7,                0.66994,                 2.0923,                 1.1716,                0.00334,                      1,                0.53311,                0.32319,                 0.7666,                 3.3796,                   1.42,             0.00020092,             0.00020092,             0.00020092
                      8,                0.62935,                 1.9309,                 1.2073,                0.00333,                      1,                0.55202,                0.32409,                0.75867,                 3.2625,                 1.3436,             0.00021479,             0.00021479,             0.00021479
                      9,                0.67874,                 1.7834,                 1.2123,                0.00343,                      1,                0.63054,                0.39341,                0.71276,                 3.1719,                 1.4303,             0.00022441,             0.00022441,             0.00022441
                     10,                 0.6461,                 1.6147,                 1.1661,                0.00339,                      1,                0.73277,                0.46145,                0.81602,                 3.2734,                 1.5053,             0.00022979,             0.00022979,             0.00022979
                     11,                0.67772,                 2.2024,                 1.4524,                0.00338,                      1,                 0.5778,                0.32951,                 1.0111,                 3.3447,                 1.6327,             0.00023093,             0.00023093,             0.00023093
                     12,                0.60149,                 2.0412,                 1.3208,                0.00337,                      1,                0.49162,                0.32596,                  1.005,                 3.1833,                 1.6916,             0.00022782,             0.00022782,             0.00022782
                     13,                0.54768,                 1.8596,                 1.2452,                0.00335,                      1,                0.59645,                 0.4381,                0.90927,                 3.1486,                 1.5935,             0.00022047,             0.00022047,             0.00022047
                     14,                0.57254,                 1.7627,                 1.3423,                0.00334,                      1,                0.72984,                0.50611,                0.83161,                 3.2727,                 1.4709,             0.00020887,             0.00020887,             0.00020887
                     15,                 0.6149,                 1.6864,                 1.3402,                0.00343,                      1,                0.76758,                0.48815,                0.84049,                 3.1749,                 1.4796,             0.00019303,             0.00019303,             0.00019303
                     16,                 0.5235,                 1.5862,                 1.2379,                0.82151,                0.43246,                0.79944,                0.55105,                0.78697,                 3.0819,                 1.4382,             0.00017294,             0.00017294,             0.00017294
                     17,                0.54142,                 1.5867,                 1.2933,                0.81698,                0.27445,                0.82921,                0.59769,                0.72283,                  3.007,                 1.3923,             0.00014862,             0.00014862,             0.00014862
                     18,                0.49725,                 1.6249,                 1.2427,                0.81557,                0.39549,                0.88389,                0.60808,                0.74831,                 2.9835,                 1.4034,             0.00012004,             0.00012004,             0.00012004
                     19,                 0.4774,                 1.5301,                 1.2287,                 0.8161,                0.48963,                0.85653,                0.56161,                0.74876,                 2.9322,                 1.4924,             8.7226e-05,             8.7226e-05,             8.7226e-05
                     20,                0.50028,                 1.4856,                 1.2494,                0.81499,                0.50227,                0.82949,                0.55306,                0.72425,                 2.9318,                 1.4785,             5.0165e-05,             5.0165e-05,             5.0165e-05
