                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97726,                 3.2345,                 1.3796,                0.00341,                      1,                0.09866,                0.03685,                0.76318,                 3.5099,                 1.3738,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                0.80266,                 3.0685,                 1.2798,                0.00376,                      1,                0.30231,                0.21424,                0.63846,                 3.4735,                 1.2009,             0.00012224,             0.00012224,             0.00012224
                      3,                 0.6851,                 2.5357,                 1.2058,                0.00342,                      1,                0.55212,                0.37228,                0.63414,                 3.3887,                 1.1891,             0.00018025,             0.00018025,             0.00018025
                      4,                0.72623,                 2.1759,                 1.2597,                0.00337,                      1,                0.51044,                0.21604,                 1.2628,                 3.5379,                 1.8164,             0.00023119,             0.00023119,             0.00023119
                      5,                0.76919,                 2.0156,                 1.2432,                0.00313,                0.93333,                0.33828,                0.12838,                 1.5338,                 3.6368,                  2.096,             0.00027505,             0.00027505,             0.00027505
                      6,                0.65981,                 1.8253,                 1.1773,                0.00336,                      1,                0.56442,                0.31644,                0.85715,                 3.2692,                 1.4241,             0.00031184,             0.00031184,             0.00031184
                      7,                0.67138,                 1.6546,                 1.2004,                0.00339,                      1,                0.73698,                0.50562,                0.77482,                 3.1335,                 1.3501,             0.00034156,             0.00034156,             0.00034156
