                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.35265,                0.46283,                0.96424,                0.92356,                0.84594,                0.93325,                0.82167,                0.44546,                0.67447,                 1.0272,              0.0013488,              0.0013488,              0.0013488
                     37,                0.33828,                0.44428,                 0.9568,                 0.7748,                0.55886,                0.61091,                0.54868,                0.63084,                 1.4859,                 1.1459,              0.0013465,              0.0013465,              0.0013465
                     38,                0.35421,                0.46126,                0.96944,                0.95992,                0.83607,                0.92629,                0.81875,                0.47693,                 0.6849,                 1.0717,              0.0013441,              0.0013441,              0.0013441
                     39,                0.34929,                 0.4691,                0.96408,                0.85926,                0.82626,                0.89832,                0.73065,                0.58791,                0.93014,                 1.2133,              0.0013418,              0.0013418,              0.0013418
                     40,                0.34743,                0.45202,                0.96913,                0.87893,                0.62071,                0.66932,                0.41608,                 1.4488,                 1.4251,                 1.9965,              0.0013394,              0.0013394,              0.0013394
                     41,                0.34885,                0.43634,                0.95617,                0.93491,                 0.9148,                0.94605,                 0.8415,                0.45537,                0.47386,                 1.0415,               0.001337,               0.001337,               0.001337
                     42,                0.34345,                 0.4353,                0.96219,                0.91874,                0.56084,                0.78463,                0.66274,                0.57974,                 1.1673,                 1.1867,              0.0013347,              0.0013347,              0.0013347
                     43,                0.33303,                0.43766,                0.95576,                0.81696,                 0.8235,                0.87718,                 0.7097,                0.63597,                0.89536,                 1.2797,              0.0013323,              0.0013323,              0.0013323
                     44,                0.34035,                 0.4451,                0.95118,                  0.943,                0.88252,                 0.9312,                0.83314,                0.49501,                0.56988,                  1.079,                0.00133,                0.00133,                0.00133
                     45,                0.35096,                0.42994,                0.97238,                0.92027,                0.82954,                0.86402,                 0.7453,                0.49685,                0.84177,                 1.0942,              0.0013276,              0.0013276,              0.0013276
                     46,                0.32979,                0.40345,                0.94797,                0.90144,                0.82201,                0.91037,                  0.816,                0.44432,                0.80779,                 1.0133,              0.0013253,              0.0013253,              0.0013253
                     47,                0.34467,                 0.4217,                 0.9587,                0.80685,                0.61548,                0.66512,                 0.4237,                 1.4123,                 1.2254,                  2.444,              0.0013229,              0.0013229,              0.0013229
                     48,                 0.3455,                 0.4621,                0.96039,                0.62389,                0.43727,                0.41913,                0.26116,                 1.5658,                 2.2655,                 2.5219,              0.0013205,              0.0013205,              0.0013205
                     49,                 0.3428,                0.43701,                0.96433,                0.81691,                0.71388,                0.85037,                0.65518,                0.61164,                 1.1399,                 1.1388,              0.0013182,              0.0013182,              0.0013182
                     50,                0.32442,                0.41896,                0.95095,                0.91681,                0.88221,                0.90421,                0.80797,                0.45382,                0.59771,                 1.0057,              0.0013158,              0.0013158,              0.0013158
                     51,                0.32827,                 0.3931,                0.95442,                0.92728,                 0.8403,                0.90554,                0.80547,                0.50592,                0.55044,                 1.1267,              0.0013135,              0.0013135,              0.0013135
                     52,                0.32483,                0.42184,                0.95248,                0.89432,                0.65179,                0.77263,                0.51644,                  1.066,                 1.0343,                 1.7957,              0.0013111,              0.0013111,              0.0013111
                     53,                0.34022,                0.41853,                0.95765,                0.84416,                0.90821,                0.90527,                0.80028,                0.46325,                0.64093,                  1.085,              0.0013087,              0.0013087,              0.0013087
                     54,                 0.3286,                0.42234,                0.95838,                0.93991,                0.77695,                0.86825,                0.70032,                0.52975,                0.81406,                 1.1068,              0.0013064,              0.0013064,              0.0013064
                     55,                0.33018,                0.42302,                0.95808,                0.96144,                0.81366,                0.89345,                0.79792,                0.44566,                 0.6419,                 1.0353,               0.001304,               0.001304,               0.001304
                     56,                 0.3255,                0.43152,                0.94122,                0.87913,                0.89556,                0.90771,                0.78182,                0.48894,                0.74716,                 1.0818,              0.0013017,              0.0013017,              0.0013017
                     57,                0.32448,                0.39081,                0.94681,                0.90375,                0.91579,                0.94264,                0.83513,                0.41751,                0.57503,                0.97422,              0.0012993,              0.0012993,              0.0012993
                     58,                0.32593,                0.39952,                 0.9595,                0.91479,                0.94261,                 0.9422,                0.82974,                0.38975,                0.55508,                 1.0114,               0.001297,               0.001297,               0.001297
                     59,                0.30828,                0.37243,                0.94413,                0.88663,                0.81366,                0.83464,                0.68038,                0.62846,                 1.0912,                 1.2134,              0.0012946,              0.0012946,              0.0012946
                     60,                0.33202,                0.41105,                0.95417,                0.92041,                0.84541,                0.88528,                0.77852,                0.44695,                0.73118,                 1.0722,              0.0012922,              0.0012922,              0.0012922
                     61,                0.30671,                0.36048,                 0.9417,                0.90815,                0.86779,                0.91352,                0.80941,                0.45885,                0.63665,                 1.0602,              0.0012899,              0.0012899,              0.0012899
                     62,                0.31621,                0.39259,                0.94842,                0.95793,                0.81729,                0.91721,                0.76719,                0.45922,                 1.0505,                 1.0786,              0.0012875,              0.0012875,              0.0012875
                     63,                0.31572,                0.36672,                0.95114,                0.82501,                0.80097,                0.84125,                0.72371,                0.46696,                0.92111,                 1.0693,              0.0012852,              0.0012852,              0.0012852
                     64,                0.30851,                0.37725,                0.93287,                0.87132,                0.82946,                0.93735,                 0.8093,                0.42362,                0.60296,                 1.0379,              0.0012828,              0.0012828,              0.0012828
                     65,                0.32045,                0.37828,                0.95365,                  0.698,                 0.6198,                0.54041,                 0.3887,                 1.2421,                 1.8404,                 2.0923,              0.0012805,              0.0012805,              0.0012805
                     66,                0.31123,                0.36508,                0.94227,                0.85248,                0.92762,                0.93306,                0.77864,                0.53409,                0.68386,                 1.1231,              0.0012781,              0.0012781,              0.0012781
                     67,                 0.3186,                0.35711,                0.95794,                0.95074,                0.94751,                0.94676,                0.82146,                 0.4302,                0.62347,                 1.0137,              0.0012757,              0.0012757,              0.0012757
                     68,                0.31275,                0.36618,                0.93912,                0.87292,                0.83752,                 0.8012,                 0.7033,                0.43021,                0.81614,                 1.0615,              0.0012734,              0.0012734,              0.0012734
                     69,                0.31461,                0.36178,                0.94285,                0.87489,                0.83092,                0.85924,                0.73787,                0.49973,                0.63421,                 1.1257,               0.001271,               0.001271,               0.001271
                     70,                 0.3083,                0.37273,                0.93268,                0.84164,                0.59707,                  0.783,                0.57677,                0.75876,                 1.2268,                 1.3454,              0.0012687,              0.0012687,              0.0012687
                     71,                0.32183,                0.36159,                0.95065,                0.86178,                0.87132,                0.92341,                0.75617,                0.48514,                0.98082,                 1.0872,              0.0012663,              0.0012663,              0.0012663
                     72,                 0.3147,                0.39254,                 0.9453,                0.96377,                0.88982,                0.93958,                0.79949,                0.50048,                0.64926,                 1.1343,               0.001264,               0.001264,               0.001264
                     73,                0.30637,                0.39741,                0.93758,                0.67592,                0.72671,                0.72874,                0.45021,                 1.2056,                 1.2877,                 1.8494,              0.0012616,              0.0012616,              0.0012616
                     74,                0.31053,                0.36893,                0.94305,                0.92831,                0.83298,                0.92967,                0.78316,                0.45913,                0.60763,                  1.075,              0.0012592,              0.0012592,              0.0012592
                     75,                0.29691,                0.33566,                0.93146,                0.89627,                0.87772,                0.93207,                 0.8082,                0.43009,                 0.5456,                 1.0885,              0.0012569,              0.0012569,              0.0012569
                     76,                0.31133,                 0.3517,                0.94601,                0.89262,                0.69856,                0.85447,                0.64404,                0.74948,                0.99081,                 1.3681,              0.0012545,              0.0012545,              0.0012545
                     77,                0.31689,                0.36794,                0.94907,                0.87555,                0.82319,                0.82831,                0.74504,                0.38399,                0.80514,                   1.02,              0.0012522,              0.0012522,              0.0012522
                     78,                0.32079,                0.36505,                 0.9541,                0.90226,                0.77959,                0.88211,                0.78619,                0.38069,                0.75083,                0.98926,              0.0012498,              0.0012498,              0.0012498
                     79,                0.30466,                0.36677,                0.93063,                0.90789,                0.80829,                0.89052,                0.76651,                0.44997,                0.78808,                 1.0571,              0.0012474,              0.0012474,              0.0012474
                     80,                0.32551,                0.36906,                0.95499,                0.93848,                0.86722,                0.92648,                0.78008,                0.47312,                 0.6195,                 1.0653,              0.0012451,              0.0012451,              0.0012451
                     81,                0.30845,                0.35394,                0.94425,                0.83464,                0.95175,                0.94062,                0.83248,                0.39592,                0.56772,                0.99804,              0.0012427,              0.0012427,              0.0012427
                     82,                0.30021,                0.34501,                0.93793,                0.87817,                0.75912,                0.84012,                0.65499,                0.56956,                 1.0698,                 1.1694,              0.0012404,              0.0012404,              0.0012404
                     83,                0.31132,                0.36865,                0.93743,                0.91082,                0.81189,                0.80913,                0.73977,                0.41429,                 1.1775,                 1.0017,               0.001238,               0.001238,               0.001238
                     84,                 0.2942,                 0.3426,                0.93387,                0.79437,                0.78695,                0.77638,                0.61225,                0.59463,                0.92905,                 1.2672,              0.0012357,              0.0012357,              0.0012357
                     85,                0.30842,                0.35502,                0.94488,                 0.9042,                0.88986,                0.88608,                0.75685,                0.42462,                0.62758,                 1.0477,              0.0012333,              0.0012333,              0.0012333
                     86,                0.30421,                0.34755,                0.93617,                0.78632,                0.76922,                0.82493,                0.72881,                0.48754,                0.91036,                 1.0603,              0.0012309,              0.0012309,              0.0012309
                     87,                0.30519,                 0.3656,                0.93793,                0.90702,                0.62461,                0.79943,                0.63009,                0.59673,                  1.549,                  1.144,              0.0012286,              0.0012286,              0.0012286
                     88,                0.30517,                0.35432,                0.93401,                 0.8949,                 0.7703,                0.86329,                0.75734,                0.43682,                0.72407,                 1.0388,              0.0012262,              0.0012262,              0.0012262
                     89,                0.31343,                 0.3672,                0.93229,                 0.6722,                0.64748,                0.73926,                  0.542,                0.77656,                 1.4116,                 1.2986,              0.0012239,              0.0012239,              0.0012239
                     90,                0.30374,                0.34777,                0.93644,                0.87592,                0.78744,                0.71662,                0.64758,                0.40921,                 1.1069,                   1.02,              0.0012215,              0.0012215,              0.0012215
                     91,                 0.2874,                0.34818,                 0.9315,                0.72577,                0.68406,                0.67401,                0.39216,                  1.436,                 1.2708,                  2.398,              0.0012192,              0.0012192,              0.0012192
                     92,                0.29301,                0.35125,                0.93072,                0.91691,                0.78603,                0.86865,                0.72501,                0.53205,                0.85457,                 1.1254,              0.0012168,              0.0012168,              0.0012168
                     93,                0.31471,                0.36307,                0.94367,                0.91577,                0.91747,                0.90716,                0.80438,                0.43641,                0.63895,                 1.0308,              0.0012144,              0.0012144,              0.0012144
                     94,                0.29809,                0.33853,                0.93032,                0.89108,                0.81848,                 0.8534,                0.78581,                0.39947,                0.76373,                 1.0153,              0.0012121,              0.0012121,              0.0012121
                     95,                0.30572,                0.33151,                0.94017,                0.97067,                0.95652,                0.94482,                0.81255,                0.45964,                0.52218,                 1.0764,              0.0012097,              0.0012097,              0.0012097
