                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0177,                 3.2009,                 1.4053,                0.00341,                      1,                0.08124,                0.03356,                0.77036,                 3.5056,                 1.3782,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 1.0978,                 3.2814,                 1.4554,                0.00341,                      1,                0.10665,                0.04129,                0.76335,                 3.5121,                 1.3711,             7.1096e-05,             7.1096e-05,             7.1096e-05
                      3,                 1.0846,                 3.2848,                 1.4208,                0.00353,                      1,                0.21382,                0.10811,                0.67116,                  3.485,                 1.2546,             0.00011319,             0.00011319,             0.00011319
                      4,                0.72853,                 2.9487,                 1.2083,                0.00367,                      1,                0.38374,                0.25009,                0.51938,                 3.4109,                 1.1769,             0.00015486,             0.00015486,             0.00015486
                      5,                 0.6822,                 2.5137,                 1.2437,                0.00336,                      1,                0.54956,                0.31024,                0.56569,                 3.4112,                 1.1709,              0.0001961,              0.0001961,              0.0001961
                      6,                0.65504,                 2.1988,                 1.2161,                0.00334,                      1,                 0.4237,                0.22522,                 1.1054,                 3.7176,                 1.6831,             0.00023692,             0.00023692,             0.00023692
                      7,                0.68567,                 2.0221,                 1.1958,                0.00334,                      1,                0.40639,                0.23402,                0.95255,                 3.5923,                 1.7404,             0.00027731,             0.00027731,             0.00027731
                      8,                0.65728,                 1.9091,                 1.2285,                0.00335,                      1,                0.26585,                0.15049,                 1.5985,                 3.6584,                 2.0726,             0.00031728,             0.00031728,             0.00031728
                      9,                0.68393,                  1.738,                  1.209,                0.00342,                      1,                0.38938,                0.20897,                 1.1379,                 3.5809,                 1.8954,             0.00035683,             0.00035683,             0.00035683
                     10,                0.68343,                 1.5404,                 1.1882,                0.11774,                0.86667,                0.49409,                0.26892,                 0.9485,                 3.2792,                  1.922,             0.00039595,             0.00039595,             0.00039595
                     11,                0.66148,                 1.4708,                 1.1784,                0.78003,                0.33333,                0.68533,                0.39878,                0.82005,                 3.1278,                 1.5838,             0.00043464,             0.00043464,             0.00043464
                     12,                0.66804,                 1.3676,                 1.1576,                0.14828,                0.86667,                0.63254,                0.45825,                0.74798,                 3.2113,                 1.4142,             0.00047292,             0.00047292,             0.00047292
                     13,                0.68423,                 1.3435,                 1.1801,                0.79748,                0.48069,                0.69571,                0.49153,                0.87071,                 2.9574,                 1.5095,             0.00051076,             0.00051076,             0.00051076
                     14,                 0.7063,                 1.3012,                 1.1882,                 0.7225,                0.33333,                0.33283,                0.14095,                 1.9712,                 3.8058,                 2.6718,             0.00054819,             0.00054819,             0.00054819
                     15,                0.71453,                 1.2774,                 1.1819,                0.62261,                    0.4,                0.32321,                0.13508,                 1.7837,                 3.7799,                 2.5329,             0.00058519,             0.00058519,             0.00058519
                     16,                0.70568,                 1.3395,                 1.2071,                0.68084,                0.33333,                 0.3022,                 0.1341,                 1.6784,                  3.931,                 2.3946,             0.00062176,             0.00062176,             0.00062176
                     17,                0.71175,                 1.3387,                 1.1842,                0.47283,                0.33333,                0.48271,                  0.279,                 1.3361,                 3.1758,                 1.9301,             0.00065791,             0.00065791,             0.00065791
                     18,                0.68726,                 1.2151,                  1.192,                0.43871,                    0.2,                0.37359,                0.12078,                 1.7084,                 3.5445,                 2.3896,             0.00069364,             0.00069364,             0.00069364
                     19,                 0.7856,                 1.3168,                 1.2678,                0.74011,                0.06667,                0.03513,                0.00619,                 3.7173,                 4.1971,                 6.5826,             0.00072894,             0.00072894,             0.00072894
                     20,                0.65312,                 1.2422,                 1.1344,                0.07863,                0.13333,                0.08028,                0.01484,                 2.7523,                 4.2596,                 3.6773,             0.00076382,             0.00076382,             0.00076382
                     21,                0.71688,                 1.2462,                 1.1901,                0.65233,                0.53333,                0.54882,                0.28621,                 1.3909,                 3.2921,                  2.055,             0.00079827,             0.00079827,             0.00079827
                     22,                0.69623,                 1.2107,                 1.1985,                0.74628,                0.45779,                0.58921,                0.31379,                 1.1315,                 3.0263,                 1.8201,              0.0008323,              0.0008323,              0.0008323
                     23,                0.70093,                 1.2008,                 1.1692,                 0.7626,                    0.2,                0.23624,                0.06778,                  1.873,                 4.4178,                 2.6983,              0.0008659,              0.0008659,              0.0008659
                     24,                0.75181,                 1.1125,                 1.2149,                0.47788,                    0.6,                0.53461,                 0.2901,                 1.3055,                 3.0838,                 2.0996,             0.00089908,             0.00089908,             0.00089908
                     25,                0.69868,                 1.2226,                 1.1829,                 0.5129,                0.76538,                0.70422,                0.38461,                 1.1837,                 2.6879,                 1.8432,             0.00093183,             0.00093183,             0.00093183
                     26,                0.76748,                 1.1915,                 1.2439,                0.67832,                0.66667,                0.51989,                0.29883,                 1.0289,                 3.2075,                 1.6687,             0.00096416,             0.00096416,             0.00096416
                     27,                0.76694,                  1.256,                 1.2558,                0.70086,                    0.6,                0.41665,                0.16975,                 1.5387,                 3.4311,                 2.5906,             0.00099607,             0.00099607,             0.00099607
                     28,                0.73808,                 1.2033,                 1.2251,                0.73634,                    0.6,                0.44063,                0.17405,                  1.403,                  3.441,                 2.2357,              0.0010276,              0.0010276,              0.0010276
                     29,                0.72401,                 1.1377,                 1.2401,                0.75144,                0.33333,                0.11003,                0.06111,                 1.1807,                 4.1861,                 2.1632,              0.0010586,              0.0010586,              0.0010586
                     30,                0.73437,                 1.1594,                 1.2228,                0.76731,                0.26667,                0.11025,                0.07418,                 1.0727,                 4.0298,                  1.972,              0.0010892,              0.0010892,              0.0010892
                     31,                0.70719,                 1.1078,                 1.1579,                0.80564,                0.26667,                0.27329,                0.23316,                  1.175,                 3.9012,                 2.1188,              0.0011195,              0.0011195,              0.0011195
                     32,                0.70854,                  1.057,                 1.1677,                0.78378,                    0.2,                0.15083,                0.08508,                 1.8496,                 4.6777,                 2.8933,              0.0011492,              0.0011492,              0.0011492
                     33,                0.74188,                 1.0595,                 1.1971,                0.78921,                0.33333,                0.15907,                0.07503,                  2.131,                  4.602,                 3.3868,              0.0011786,              0.0011786,              0.0011786
